Ordem;Contrato;Família;Item ;Descrição ;Dt Requisição;Requisição;Requisitante;Dt Aprov Requis;Dt Ordem;Dt Pedido;Pedido  ;Ped Emerg.;Prazo Entrega;Dt Nota Fiscal;Dt Rec. Físico  ;Comprador   ;Qtde;Valor ;Fornecedor   ;Cond Pagto;Grupo de Estoque;Unid Medida;Tipo de Material;Situação do Item;Tipo Controle do Item;Departamento;Nro Ordem Investimento
  8082.11;2211;314;3142227;RETENTOR 0665100069/3115269300 ATLAS COPCO                  ;;;0;18/06/2015;08/01/2016;09/12/2011;131;Não;0;19/01/2016;04/02/2016;1888696;30;78,6024;15526;40 - 40 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.12;2211;314;3142400;KIT REPARO 9120099006 ATLAS COPCO                           ;;;0;18/06/2015;08/01/2016;09/12/2011;131;Não;0;19/01/2016;04/02/2016;1888696;2;367,136;15526;40 - 40 ;10;JG;Material;Ativo   ;Total   ;0;
  8082.23;3572;624;6240032;IMPRESSO ORDEM DE SERVICO/ABAST/LUBRIFICACAO                ;;;0;18/06/2015;08/01/2016;09/06/2014;1.209;Não;0;13/01/2016;25/01/2016;1888696;60;2,67;9692;28 - 28 ;10;BL;Material;Ativo   ;Total   ;0;
  8081.83;0;742;7420207;CABO 750 03 DE POTENCIA + 3 SECCAO NOMINAL 95MM2 + 16 MM2   ;;;0;18/06/2015;07/01/2016;12/04/2016;6.057;Não;60;30/06/2016;04/07/2016;1950397;299;251,86;1227;28 - 28 ;10;M ;Material;Ativo   ;Total   ;0;
  8081.61;3396;140;1400467;ELEMENTO FILTRO PI352 PARKER                                ;;;0;18/06/2015;07/01/2016;03/02/2014;280;Não;0;;;1951145;0;6,65;294;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.17;3835;470;4700086;VALVULA ESFERA 1 POL                                        ;;;0;18/06/2015;08/01/2016;20/01/2015;105;Não;0;;;1951145;0;22;26484;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8080.69;3958;890;8900217;CORREIA 5V950 GATES                                         ;;;0;18/06/2015;04/01/2016;24/07/2015;1.761;Não;0;06/01/2016;11/01/2016;1951145;30;32,51;24052;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8080.88;3497;124;1240039;OLEO LUBRIFICANTE LUBRAX TOP TURBO PETROBRAS                ;;;0;18/06/2015;04/01/2016;01/10/2013;282;Não;0;05/01/2016;11/01/2016;1951145;800;7,1058;2616;28 - 28 ;10;L ;Material;Ativo   ;Total   ;0;
  8080.89;3969;130;1300029;FLOCULANTE NALCOLYTE 4032 NALCO                             ;;;0;18/06/2015;04/01/2016;25/09/2014;2.038;Não;0;14/01/2016;21/01/2016;1951145;6.000,00;6,24;7335;28 - 28 ;10;KG;Material;Ativo   ;Total   ;0;
  8080.95;3875;412;4120240;ROTOR F6147A05 WEIR                                         ;;;0;18/06/2015;04/01/2016;12/03/2015;1.936;Não;0;12/02/2016;11/03/2016;1951145;4;2.780,00;2509;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8080.97;3785;314;3149634;CAIXA DOS MORDENTES 3716026200                              ;;;0;18/06/2015;05/01/2016;10/10/2014;133;Não;0;16/02/2016;04/03/2016;1951145;2;945;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.07;3814;218;2180351;TANQUE 1902141 SCANIA                                       ;;;0;18/06/2015;05/01/2016;13/12/2014;1.245;Não;0;08/01/2016;09/02/2016;1951145;1;1.600,00;18858;28 - 28 ;85;PC;Material;Ativo   ;Total   ;0;
  8081.11;3785;256;2563617;PINO 1V8033 CATERPILLAR                                     ;;;0;18/06/2015;05/01/2016;10/10/2014;133;Não;0;19/01/2016;05/02/2016;1951145;4;504;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.12;3569;256;2564227;LUVA DE ESTAGIO 1869083 CATERPILLAR                         ;;;0;18/06/2015;05/01/2016;29/05/2015;199;Não;0;26/01/2016;10/02/2016;1951145;2;1.577,48;23852;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.14;3939;590;5900089;ROLAMENTO 22315CCW33 SKF                                    ;;;0;18/06/2015;05/01/2016;08/07/2015;1.210;Não;0;19/01/2016;12/02/2016;1951145;1;351,5;2132;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.15;3956;590;5900525;ROLAMENTO NU2308ECJ SKF                                     ;;;0;18/06/2015;05/01/2016;08/07/2015;3.349;Não;0;18/01/2016;02/02/2016;1951145;1;123,2;2621;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.26;3569;256;2561542;FILTRO 1G8878 CATERPILLAR                                   ;;;0;18/06/2015;06/01/2016;29/05/2015;199;Não;0;19/01/2016;02/02/2016;1951145;10;298,8861;23852;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.30;2381;252;2520860;BOMBA 77017377 SANDVIK                                      ;;;0;18/06/2015;06/01/2016;01/10/2012;203;Não;0;06/01/2016;08/02/2016;1951145;1;1.459,58;4237;28 - 28 ;85;PC;Material;Ativo   ;Total   ;0;
  8081.38;3535;610;6100186;MACACAO ELETRICISTA RISCO I Nº 46                           ;;;0;18/06/2015;06/01/2016;01/05/2014;1.244;Não;0;20/01/2016;03/02/2016;1951145;2;214;1538;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.52;3403;140;1400486;FILTRO AR AFI6220 PARKER                                    ;;;0;18/06/2015;07/01/2016;03/02/2014;65;Não;0;14/01/2016;26/01/2016;1951145;6;28,296;2234;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.53;3403;140;1400553;FILTRO OLEO CAIXA E DIFERENCIAL 2002705                     ;;;0;18/06/2015;07/01/2016;03/02/2014;65;Não;0;28/01/2016;08/02/2016;1951145;40;31,9;2234;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.54;3403;140;1400579;ELEMENTO FILTRO 14896991A HYVA                              ;;;0;18/06/2015;07/01/2016;03/02/2014;65;Não;0;14/01/2016;26/01/2016;1951145;2;104;2234;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.56;2381;252;2525285;FILTRO DE RETORNO 55200077 SANDVIK                          ;;;0;18/06/2015;07/01/2016;01/10/2012;203;Não;0;07/01/2016;20/01/2016;1951145;2;466,65;4237;28 - 28 ;85;PC;Material;Ativo   ;Total   ;0;
