"301";"";"0000491";4338;"1556II";"UC010086";10;0;0;50,1990686405
"301";"";"0000491";4338;"1556II";"1340012";20;0;0;50,1990686405
"301";"";"0000491";4338;"1556II";"UC010367";30;0;0;50,1990686405
"301";"";"0000491";4338;"1556II";"IN025173";40;0;0;50,1990686405
"301";"";"0005024";8801;"1352TV";"99990008";10;0;0;2529,5200000779
"301";"";"0221971";30455;"2556BR";"UC022516";10;1367,700000336;10;136,7700000336
"301";"1";"0004464";8801;"1352TV";"SV000899";10;19872,500001957;10;1987,2500001957
"301";"1";"0004504";8801;"1352TV";"SV000899";10;11831,30000007;10;1183,130000007
"301";"1";"0007041";8801;"1352tv";"SV000899";10;1599,799999823;10;159,9799999823
"301";"1";"0028305";7585;"1556II";"9961574";10;1002,700000013;10;100,2700000013
"301";"1";"0035864";6301;"2556ER";"MM011059";10;5071,085725863;10;507,1085725863
"301";"1";"0035864";6301;"2556ER";"MM029411";20;5071,085725863;10;507,1085725863
"301";"1";"0035864";6301;"2556ER";"MM009302";30;5071,085725863;10;507,1085725863
"301";"1";"0035864";6301;"2556ER";"MM009847";40;5071,085725863;10;507,1085725863
"301";"1";"0035864";6301;"2556ER";"MM007670";50;5071,085725863;10;507,1085725863
"301";"1";"0096679";15148;"2556ER";"MM004643";10;57434,80001538;10;5743,480001538
"301";"1";"0113484";15722;"2556BR";"UC010185";10;515,799999967;10;51,5799999967
"301";"1";"0201533";1932;"2556ER";"MM002170";10;213,1003396;10;21,31003396
"301";"1";"0201533";1932;"2556ER";"MM007590";20;213,1003396;10;21,31003396
"301";"1";"0201533";1932;"2556ER";"MM008030";30;213,1003396;10;21,31003396
"301";"1";"0243368";16455;"2556ER";"MM003432";10;3274,100000211;10;327,4100000211
"301";"1";"0243377";16455;"2556ER";"MM004467";10;408,400000003;10;40,8400000003
"301";"1";"0243398";16455;"2556ER";"MM015375";10;12724,499998604;10;1272,4499998604
"301";"1";"0243404";16455;"2556ER";"MM023269";10;452,700000081;10;45,2700000081
"301";"1";"0263462";9861;"2556BR";"MM019016";10;2562,700000591;10;256,2700000591
"301";"1";"0263466";9861;"2556ER";"MM038043";10;476,099999826;10;47,6099999826
"301";"1";"0263508";9861;"2556ER";"MM035519";10;3040,500000753;10;304,0500000753
"301";"1";"0263680";9861;"2556ER";"MM015933";10;14692,000000013;10;1469,2000000013
"301";"1";"0263692";9861;"2556BR";"UC065366";10;204,200000029;10;20,4200000029
"301";"1";"0313554";18313;"2556BR";"UC006936";10;1264,990108307;10;126,4990108307
"301";"1";"0313554";18313;"2556BR";"UC006936";20;1264,990108307;10;126,4990108307
"301";"2";"0271012";11638;"2556BR";"UC022497";10;1795,20000035;10;179,520000035
"301";"3";"0080937";8327;"2556BR";"UC048561";10;2127,108116939;10;212,7108116939
"301";"3";"0080937";8327;"2556BR";"UC048562";20;2127,108116939;10;212,7108116939
"301";"4";"0006565";27783;"2556BS";"6140371";10;2481,000000336;10;248,1000000336
"301";"";"0222109";30455;"2556BR";"UC022516";10;1252,399848525;10;125,2399848525
"301";"";"0222109";30455;"2556BR";"UC025469";20;1252,399848525;10;125,2399848525
"301";"";"0222502";30455;"2556BR";"8420067";10;19641,299994386;10;1964,1299994386
"301";"";"0418614";2356;"2556ar";"MM023178";10;3738,003683954;10;373,8003683954
"301";"";"0418614";2356;"2556ar";"MM023255";20;3738,003683954;10;373,8003683954
"301";"";"0418614";2356;"2556ar";"MM003586";30;3738,003683954;10;373,8003683954
"301";"";"0418614";2356;"2556ar";"MM010392";40;3738,003683954;10;373,8003683954
"301";"1";"0001825";8801;"1352TV";"SV000899";10;4281,600000535;10;428,1600000535
"301";"1";"0001828";1197;"2551nc";"9960180";10;7923,100016231;10;792,3100016231
"301";"1";"0001829";2824;"2101TO";"1800157";10;9596,000003793;10;959,6000003793
"301";"1";"0002701";3346;"2556BR";"UC022685";10;0;10;0
"301";"1";"0002701";3346;"2556BR";"UC022685";20;0;10;0
"301";"1";"0003587";7497;"1551ii";"99990003";10;5855,4;10;585,54
"301";"1";"0003593";5285;"1949MM";"9980033";10;1062,40000004;10;106,240000004
"301";"1";"0005843";4749;"2556BR";"6700041";10;269,599999967;10;26,9599999967
"301";"1";"0008244";5058;"2556BR";"UC040702";10;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";20;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";30;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";40;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";50;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";60;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";70;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";80;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";90;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";100;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";110;1204,819575;10;120,4819575
"301";"1";"0008244";5058;"2556BR";"UC040702";120;1204,819575;10;120,4819575
"301";"1";"0011985";8801;"1352tv";"SV000899";10;37082,400000357;10;3708,2400000357
"301";"1";"0026723";9436;"1101TI";"IN024285";10;0;10;0
"301";"1";"0026723";9436;"1101TI";"IN024285";20;0;10;0
"301";"1";"0027995";106;"2556BR";"UC027524";10;1741,999999535;10;174,1999999535
"301";"1";"0035899";6301;"2556BR";"UC064939";10;29939,8000111;10;2993,98000111
"301";"1";"0059023";10424;"2556BR";"UC025108";10;281,90000007;10;28,190000007
"301";"1";"0218521";20492;"2556BR";"UC009840";10;291,5999999;10;29,15999999
"301";"1";"0243670";16455;"2556ER";"MM046942";10;29374,100003833;10;2937,4100003833
"301";"1";"0264312";9861;"2556ER";"MM065161";10;35965,600012719;10;3596,5600012719
"301";"1";"0264313";9861;"2556ER";"MM065161";10;35965,599994682;10;3596,5599994682
